timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/04/10 09:01:52.036, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.042, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.049, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.055, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.163, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.168, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.173, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.178, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.284, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.289, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.296, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.301, 52.99 W, 0 %, 0 %
2024/04/10 09:01:52.406, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.411, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.415, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.422, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.527, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.534, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.539, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.543, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.649, 51.58 W, 0 %, 0 %
2024/04/10 09:01:52.655, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.660, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.664, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.770, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.776, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.780, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.786, 53.27 W, 0 %, 0 %
2024/04/10 09:01:52.891, 51.25 W, 0 %, 0 %
2024/04/10 09:01:52.897, 49.93 W, 0 %, 0 %
2024/04/10 09:01:52.902, 51.08 W, 0 %, 0 %
2024/04/10 09:01:52.907, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.012, 51.58 W, 0 %, 0 %
2024/04/10 09:01:53.018, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.023, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.027, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.132, 51.58 W, 0 %, 0 %
2024/04/10 09:01:53.138, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.143, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.148, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.253, 51.58 W, 0 %, 0 %
2024/04/10 09:01:53.259, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.266, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.271, 52.99 W, 0 %, 0 %
2024/04/10 09:01:53.376, 51.25 W, 0 %, 0 %
2024/04/10 09:01:53.381, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.385, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.393, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.497, 51.58 W, 0 %, 0 %
2024/04/10 09:01:53.502, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.507, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.511, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.616, 51.25 W, 0 %, 0 %
2024/04/10 09:01:53.622, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.626, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.631, 52.99 W, 0 %, 0 %
2024/04/10 09:01:53.736, 51.25 W, 0 %, 0 %
2024/04/10 09:01:53.742, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.747, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.752, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.856, 51.58 W, 0 %, 0 %
2024/04/10 09:01:53.863, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.868, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.872, 53.27 W, 0 %, 0 %
2024/04/10 09:01:53.977, 51.25 W, 0 %, 0 %
2024/04/10 09:01:53.984, 49.93 W, 0 %, 0 %
2024/04/10 09:01:53.988, 51.08 W, 0 %, 0 %
2024/04/10 09:01:53.993, 52.99 W, 0 %, 0 %
2024/04/10 09:01:54.098, 51.25 W, 0 %, 0 %
2024/04/10 09:01:54.104, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.109, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.114, 52.99 W, 0 %, 0 %
2024/04/10 09:01:54.221, 51.25 W, 0 %, 0 %
2024/04/10 09:01:54.226, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.231, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.235, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.340, 51.25 W, 0 %, 0 %
2024/04/10 09:01:54.346, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.353, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.361, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.466, 51.58 W, 0 %, 0 %
2024/04/10 09:01:54.472, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.478, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.484, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.589, 51.25 W, 0 %, 0 %
2024/04/10 09:01:54.594, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.599, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.605, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.709, 51.58 W, 0 %, 0 %
2024/04/10 09:01:54.716, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.722, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.727, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.832, 51.58 W, 0 %, 0 %
2024/04/10 09:01:54.837, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.842, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.847, 53.27 W, 0 %, 0 %
2024/04/10 09:01:54.953, 51.58 W, 0 %, 0 %
2024/04/10 09:01:54.958, 49.93 W, 0 %, 0 %
2024/04/10 09:01:54.963, 51.08 W, 0 %, 0 %
2024/04/10 09:01:54.968, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.073, 51.58 W, 0 %, 0 %
2024/04/10 09:01:55.078, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.083, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.089, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.194, 51.25 W, 0 %, 0 %
2024/04/10 09:01:55.199, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.203, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.209, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.314, 51.25 W, 0 %, 0 %
2024/04/10 09:01:55.318, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.326, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.333, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.440, 51.58 W, 0 %, 0 %
2024/04/10 09:01:55.445, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.449, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.454, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.559, 51.58 W, 0 %, 0 %
2024/04/10 09:01:55.563, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.568, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.573, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.678, 51.25 W, 0 %, 0 %
2024/04/10 09:01:55.684, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.689, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.694, 52.94 W, 0 %, 0 %
2024/04/10 09:01:55.799, 51.25 W, 0 %, 0 %
2024/04/10 09:01:55.803, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.808, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.813, 53.27 W, 0 %, 0 %
2024/04/10 09:01:55.918, 51.25 W, 0 %, 0 %
2024/04/10 09:01:55.923, 49.93 W, 0 %, 0 %
2024/04/10 09:01:55.927, 51.08 W, 0 %, 0 %
2024/04/10 09:01:55.933, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.038, 51.25 W, 0 %, 0 %
2024/04/10 09:01:56.042, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.048, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.053, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.158, 51.58 W, 0 %, 0 %
2024/04/10 09:01:56.163, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.169, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.174, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.279, 51.25 W, 0 %, 0 %
2024/04/10 09:01:56.284, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.291, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.296, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.401, 51.25 W, 0 %, 0 %
2024/04/10 09:01:56.406, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.411, 51.36 W, 0 %, 0 %
2024/04/10 09:01:56.420, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.525, 51.25 W, 0 %, 0 %
2024/04/10 09:01:56.530, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.535, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.539, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.644, 51.58 W, 0 %, 0 %
2024/04/10 09:01:56.652, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.656, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.661, 53.27 W, 0 %, 0 %
2024/04/10 09:01:56.766, 51.25 W, 0 %, 0 %
2024/04/10 09:01:56.770, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.775, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.780, 52.94 W, 0 %, 0 %
2024/04/10 09:01:56.884, 51.58 W, 0 %, 0 %
2024/04/10 09:01:56.889, 49.93 W, 0 %, 0 %
2024/04/10 09:01:56.894, 51.08 W, 0 %, 0 %
2024/04/10 09:01:56.899, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.004, 51.58 W, 0 %, 0 %
2024/04/10 09:01:57.009, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.014, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.019, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.124, 51.25 W, 0 %, 0 %
2024/04/10 09:01:57.128, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.135, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.141, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.249, 51.25 W, 0 %, 0 %
2024/04/10 09:01:57.255, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.262, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.267, 53.27 W, 0 %, 0 %
