timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/04/03 10:55:35.013, 34.44 W, 0 %, 0 %
2024/04/03 10:55:35.119, 34.34 W, 0 %, 0 %
2024/04/03 10:55:35.223, 34.44 W, 0 %, 0 %
2024/04/03 10:55:35.328, 34.34 W, 0 %, 0 %
2024/04/03 10:55:35.433, 34.30 W, 0 %, 0 %
2024/04/03 10:55:35.537, 34.44 W, 0 %, 0 %
2024/04/03 10:55:35.642, 34.34 W, 0 %, 0 %
2024/04/03 10:55:35.746, 34.34 W, 0 %, 0 %
2024/04/03 10:55:35.851, 34.34 W, 0 %, 0 %
2024/04/03 10:55:35.956, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.060, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.165, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.269, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.374, 34.24 W, 0 %, 0 %
2024/04/03 10:55:36.480, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.584, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.689, 34.34 W, 0 %, 0 %
2024/04/03 10:55:36.794, 34.24 W, 0 %, 0 %
2024/04/03 10:55:36.899, 34.25 W, 0 %, 0 %
2024/04/03 10:55:37.004, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.108, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.231, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.335, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.440, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.544, 34.05 W, 0 %, 0 %
2024/04/03 10:55:37.650, 34.05 W, 0 %, 0 %
2024/04/03 10:55:37.754, 34.05 W, 0 %, 0 %
2024/04/03 10:55:37.859, 34.14 W, 0 %, 0 %
2024/04/03 10:55:37.964, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.068, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.174, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.278, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.383, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.487, 34.06 W, 0 %, 0 %
2024/04/03 10:55:38.592, 34.08 W, 0 %, 0 %
2024/04/03 10:55:38.697, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.802, 34.05 W, 0 %, 0 %
2024/04/03 10:55:38.906, 34.14 W, 0 %, 0 %
2024/04/03 10:55:39.011, 33.86 W, 0 %, 0 %
